Campaign name,Age,Gender,Unnamed: 3,"Impressions (May 1, 2025 - May 31, 2025)","Impressions (Apr 1, 2025 - Apr 30, 2025)",Impressions Change,Impressions Change(%),"Frequency (May 1, 2025 - May 31, 2025)","Frequency (Apr 1, 2025 - Apr 30, 2025)",Frequency Change,Frequency Change(%),amount_spent,"Amount spent (INR) (Apr 1, 2025 - Apr 30, 2025)",Amount spent (INR) Change,Amount spent (INR) Change(%),Result type,"Cost per result (May 1, 2025 - May 31, 2025)","Cost per result (Apr 1, 2025 - Apr 30, 2025)",Cost per result Change,Cost per result Change(%),results,"Results (Apr 1, 2025 - Apr 30, 2025)",Results Change,Results Change(%),"CPM (cost per 1,000 impressions) (May 1, 2025 - May 31, 2025)","CPM (cost per 1,000 impressions) (Apr 1, 2025 - Apr 30, 2025)","CPM (cost per 1,000 impressions) Change","CPM (cost per 1,000 impressions) Change(%)","CTR (all) (May 1, 2025 - May 31, 2025)","CTR (all) (Apr 1, 2025 - Apr 30, 2025)",CTR (all) Change,CTR (all) Change(%),"CPC (all) (May 1, 2025 - May 31, 2025)","CPC (all) (Apr 1, 2025 - Apr 30, 2025)",CPC (all) Change,CPC (all) Change(%),"Clicks (all) (May 1, 2025 - May 31, 2025)","Clicks (all) (Apr 1, 2025 - Apr 30, 2025)",Clicks (all) Change,Clicks (all) Change(%),Reporting starts,Reporting ends,roi
Eldeco LVB 25 March MPF Page,All,All,,1333058.0,759731.0,573327.0,75.0,2.15,1.75,0.4,22.64,117761.63,136780.56,-19018.93,-13.9,Meta Leads,920.01,1290.38,-370.37,-28.7,128.0,106.0,22.0,20.75,88.34,180.04,-91.7,-50.93,1.57,1.56,0.01,0.6,5.64,11.57,-5.93,-51.23,20867.0,11821.0,9046.0,76.52,2025-05-01,2025-05-31,0.0010869414766082977
,35-44,All,,499130.0,275261.0,223869.0,81.0,2.02,1.68,0.35,20.66,38086.4,46187.58,-8101.18,-17.54,Meta Leads,928.94,1358.46,-429.52,-31.62,41.0,34.0,7.0,20.59,76.31,167.8,-91.49,-54.52,1.53,1.43,0.11,7.48,4.97,11.76,-6.78,-57.69,7657.0,3929.0,3728.0,94.88,2025-05-01,2025-05-31,0.0010764997479415224
,,male,,430901.0,235731.0,195170.0,83.0,2.03,1.63,0.39,23.92,30871.84,37168.65,-6296.81,-16.94,Meta Leads,882.05,1198.99,-316.94,-26.43,35.0,31.0,4.0,12.9,71.64,157.67,-86.03,-54.56,1.55,1.45,0.1,6.58,4.63,10.87,-6.23,-57.37,6663.0,3420.0,3243.0,94.82,2025-05-01,2025-05-31,0.0011337192729685046
,,female,,66733.0,38433.0,28300.0,74.0,2.03,2.03,0.0,-0.09,7115.35,8887.97,-1772.61,-19.94,Meta Leads,1185.89,2962.66,-1776.76,-59.97,6.0,3.0,3.0,100.0,106.62,231.26,-124.63,-53.89,1.45,1.28,0.16,12.73,7.37,18.03,-10.65,-59.1,965.0,493.0,472.0,95.74,2025-05-01,2025-05-31,0.0008432473455276269
,,unknown,,1497.0,1099.0,398.0,36.0,1.67,1.23,0.44,36.06,99.21,130.96,-31.75,-24.25,,,,,,,,,,66.27,119.16,-52.89,-44.39,1.94,1.46,0.48,33.06,3.42,8.19,-4.76,-58.2,29.0,16.0,13.0,81.25,2025-05-01,2025-05-31,
,25-34,All,,353585.0,193861.0,159724.0,82.0,2.18,1.69,0.48,28.59,23956.69,22865.2,1091.49,4.77,Meta Leads,826.09,1088.82,-262.73,-24.13,29.0,21.0,8.0,38.1,67.75,117.95,-50.19,-42.56,1.28,1.28,0.01,0.58,5.27,9.23,-3.96,-42.88,4542.0,2476.0,2066.0,83.44,2025-05-01,2025-05-31,0.0012105178136044671
,,male,,300705.0,163490.0,137215.0,84.0,2.16,1.69,0.47,27.98,19413.18,18788.95,624.24,3.32,Meta Leads,776.53,1043.83,-267.3,-25.61,25.0,18.0,7.0,38.89,64.56,114.92,-50.37,-43.82,1.29,1.31,-0.02,-1.29,4.99,8.78,-3.78,-43.09,3887.0,2141.0,1746.0,81.55,2025-05-01,2025-05-31,0.0012877848966526865
,,female,,51982.0,29669.0,22313.0,75.0,2.29,1.73,0.56,32.53,4501.36,4004.57,496.8,12.41,Meta Leads,1125.34,2002.28,-876.94,-43.8,4.0,2.0,2.0,100.0,86.59,134.97,-48.38,-35.84,1.24,1.1,0.14,12.75,6.97,12.25,-5.28,-43.1,646.0,327.0,319.0,97.55,2025-05-01,2025-05-31,0.0008886203280786252
,,unknown,,898.0,701.0,197.0,28.0,2.34,1.83,0.51,28.1,42.14,71.69,-29.55,-41.21,,,71.69,,,,1.0,,,46.93,102.27,-55.34,-54.11,1.0,1.14,-0.14,-12.18,4.68,8.96,-4.28,-47.75,9.0,8.0,1.0,12.5,2025-05-01,2025-05-31,
,65+,All,,202422.0,127676.0,74746.0,59.0,2.54,2.04,0.5,24.74,22572.41,23291.46,-719.04,-3.09,Meta Leads,836.02,1293.97,-457.95,-35.39,27.0,18.0,9.0,50.0,111.51,182.43,-70.91,-38.87,1.69,1.86,-0.16,-8.7,6.58,9.83,-3.25,-33.05,3429.0,2369.0,1060.0,44.74,2025-05-01,2025-05-31,0.0011961505218095897
,,male,,153900.0,95176.0,58724.0,62.0,2.4,1.97,0.43,21.9,18827.84,19516.18,-688.34,-3.53,Meta Leads,818.6,1501.24,-682.64,-45.47,23.0,13.0,10.0,76.92,122.34,205.05,-82.72,-40.34,1.85,2.04,-0.18,-8.97,6.6,10.07,-3.47,-34.46,2854.0,1939.0,915.0,47.19,2025-05-01,2025-05-31,0.0012215952546866767
,,female,,47488.0,31725.0,15763.0,50.0,3.14,2.27,0.87,38.15,3644.82,3594.29,50.52,1.41,Meta Leads,911.2,898.57,12.63,1.41,4.0,4.0,0.0,0.0,76.75,113.3,-36.54,-32.25,1.18,1.32,-0.15,-11.24,6.53,8.56,-2.03,-23.67,558.0,420.0,138.0,32.86,2025-05-01,2025-05-31,0.0010974478849435636
,,unknown,,1034.0,775.0,259.0,33.0,4.04,3.03,1.01,33.42,99.76,180.98,-81.22,-44.88,,,180.98,,,,1.0,,,96.48,233.52,-137.05,-58.69,1.64,1.29,0.35,27.42,5.87,18.1,-12.23,-67.58,17.0,10.0,7.0,70.0,2025-05-01,2025-05-31,
,45-54,All,,163778.0,92330.0,71448.0,77.0,1.9,1.68,0.22,12.98,18158.87,24729.14,-6570.27,-26.57,Meta Leads,1008.83,1236.46,-227.63,-18.41,18.0,20.0,-2.0,-10.0,110.87,267.83,-156.96,-58.6,1.82,1.74,0.08,4.58,6.09,15.38,-9.29,-60.42,2983.0,1608.0,1375.0,85.51,2025-05-01,2025-05-31,0.000991251107585439
,,male,,141492.0,76816.0,64676.0,84.0,1.91,1.7,0.22,12.91,14728.29,20011.16,-5282.88,-26.4,Meta Leads,920.52,1053.22,-132.7,-12.6,16.0,19.0,-3.0,-15.79,104.09,260.51,-156.42,-60.04,1.85,1.85,0.0,0.06,5.62,14.08,-8.46,-60.07,2619.0,1421.0,1198.0,84.31,2025-05-01,2025-05-31,0.0010863447148311174
,,female,,21952.0,15146.0,6806.0,45.0,1.79,1.62,0.16,10.12,3386.48,4586.6,-1200.12,-26.17,Meta Leads,1693.24,4586.6,-2893.36,-63.08,2.0,1.0,1.0,100.0,154.27,302.83,-148.56,-49.06,1.61,1.2,0.42,34.94,9.57,25.34,-15.77,-62.25,354.0,181.0,173.0,95.58,2025-05-01,2025-05-31,0.0005905837329616594
,,unknown,,333.0,368.0,-35.0,-10.0,0.0,1.44,-1.44,-100.0,44.11,131.38,-87.28,-66.43,,,,,,,,,,132.45,357.01,-224.56,-62.9,3.0,1.63,1.37,84.18,4.41,21.9,-17.49,-79.86,10.0,6.0,4.0,66.67,2025-05-01,2025-05-31,
,55-64,All,,114143.0,70603.0,43540.0,62.0,2.26,1.79,0.48,26.68,14987.26,19707.18,-4719.93,-23.95,Meta Leads,1152.87,1515.94,-363.07,-23.95,13.0,13.0,0.0,0.0,131.3,279.13,-147.82,-52.96,1.98,2.04,-0.06,-3.03,6.64,13.7,-7.05,-51.49,2256.0,1439.0,817.0,56.78,2025-05-01,2025-05-31,0.0008674033812718268
,,male,,94725.0,55228.0,39497.0,72.0,2.3,1.77,0.53,29.86,12372.69,16254.25,-3881.55,-23.88,Meta Leads,1237.27,1250.33,-13.06,-1.04,10.0,13.0,-3.0,-23.08,130.62,294.31,-163.69,-55.62,2.14,2.15,-0.02,-0.72,6.12,13.68,-7.57,-55.3,2023.0,1188.0,835.0,70.29,2025-05-01,2025-05-31,0.0008082316779940336
,,female,,19099.0,15124.0,3975.0,26.0,2.07,1.82,0.25,13.91,2577.28,3411.38,-834.1,-24.45,Meta Leads,1288.64,,,,2.0,,,,134.94,225.56,-90.62,-40.17,1.17,1.65,-0.48,-29.08,11.56,13.7,-2.14,-15.64,223.0,249.0,-26.0,-10.44,2025-05-01,2025-05-31,0.0007760119195430841
,,unknown,,319.0,250.0,69.0,28.0,0.0,0.0,0.0,,37.28,41.55,-4.27,-10.27,Meta Leads,37.28,,,,1.0,,,,116.87,166.2,-49.33,-29.68,3.13,0.8,2.33,291.85,3.73,20.78,-17.05,-82.05,10.0,2.0,8.0,400.0,2025-05-01,2025-05-31,0.02682403433476395
Eldeco LVB 10 March,All,All,,1027741.0,364022.0,663719.0,182.0,4.65,2.79,1.85,66.34,90970.71,57917.55,33053.16,57.07,Meta Leads,640.64,772.23,-131.6,-17.04,142.0,75.0,67.0,89.33,88.52,159.1,-70.59,-44.37,0.51,0.57,-0.05,-9.39,17.25,28.09,-10.84,-38.6,5275.0,2062.0,3213.0,155.82,2025-05-01,2025-05-31,0.0015609419779179473
,55-64,All,,278144.0,72093.0,206051.0,286.0,5.66,3.0,2.66,88.55,25741.94,12978.0,12763.94,98.35,Meta Leads,547.7,683.05,-135.35,-19.82,47.0,19.0,28.0,147.37,92.55,180.02,-87.47,-48.59,0.56,0.64,-0.08,-13.19,16.56,27.97,-11.4,-40.78,1554.0,464.0,1090.0,234.91,2025-05-01,2025-05-31,0.0018258142160225688
,,male,,228758.0,58456.0,170302.0,291.0,5.73,3.0,2.73,90.87,20417.35,10821.5,9595.85,88.67,Meta Leads,600.51,601.19,-0.68,-0.11,34.0,18.0,16.0,88.89,89.25,185.12,-95.87,-51.79,0.52,0.63,-0.12,-18.37,17.27,29.25,-11.97,-40.94,1182.0,370.0,812.0,219.46,2025-05-01,2025-05-31,0.0016652503875380499
,,female,,48861.0,13329.0,35532.0,267.0,5.3,2.95,2.35,79.39,5297.22,2125.58,3171.64,149.21,Meta Leads,407.48,2125.58,-1718.1,-80.83,13.0,1.0,12.0,1200.0,108.41,159.47,-51.06,-32.02,0.76,0.7,0.06,8.24,14.36,22.86,-8.5,-37.19,369.0,93.0,276.0,296.77,2025-05-01,2025-05-31,0.0024541174427341133
,,unknown,,525.0,308.0,217.0,70.0,8.2,4.81,3.39,70.45,27.37,30.92,-3.55,-11.48,,,,,,,,,,52.13,100.39,-48.26,-48.07,0.57,0.32,0.25,76.0,9.12,30.92,-21.8,-70.49,3.0,1.0,2.0,200.0,2025-05-01,2025-05-31,
,65+,All,,174104.0,74930.0,99174.0,132.0,5.68,3.24,2.43,75.04,22005.05,13629.7,8375.35,61.45,Meta Leads,956.74,717.35,239.39,33.37,23.0,19.0,4.0,21.05,126.39,181.9,-55.51,-30.52,0.8,0.82,-0.02,-2.69,15.88,22.23,-6.36,-28.59,1386.0,613.0,773.0,126.1,2025-05-01,2025-05-31,0.001045214621189227
,,male,,149656.0,55791.0,93865.0,168.0,5.95,3.13,2.82,90.01,18900.55,11504.42,7396.13,64.29,Meta Leads,859.12,766.96,92.15,12.02,22.0,15.0,7.0,46.67,126.29,206.21,-79.91,-38.75,0.78,0.84,-0.06,-7.48,16.24,24.53,-8.29,-33.8,1164.0,469.0,695.0,148.19,2025-05-01,2025-05-31,0.0011639872913751187
,,female,,23772.0,18506.0,5266.0,28.0,4.42,3.53,0.89,25.35,2904.39,2040.78,863.61,42.32,Meta Leads,2904.39,680.26,2224.13,326.95,1.0,3.0,-2.0,-66.67,122.18,110.28,11.9,10.79,0.92,0.74,0.18,24.44,13.26,14.9,-1.63,-10.97,219.0,137.0,82.0,59.85,2025-05-01,2025-05-31,0.00034430637758703207
,,unknown,,676.0,633.0,43.0,7.0,5.28,19.78,-14.5,-73.3,200.11,84.5,115.61,136.81,,,84.5,,,,1.0,,,296.02,133.49,162.52,121.75,0.44,1.11,-0.66,-59.87,66.7,12.07,54.63,452.56,3.0,7.0,-4.0,-57.14,2025-05-01,2025-05-31,
,45-54,All,,302633.0,84549.0,218084.0,258.0,4.44,2.46,1.97,80.07,21868.04,11664.97,10203.08,87.47,Meta Leads,455.58,1166.5,-710.91,-60.94,48.0,10.0,38.0,380.0,72.26,137.97,-65.71,-47.63,0.42,0.45,-0.03,-6.58,17.03,30.38,-13.35,-43.93,1284.0,384.0,900.0,234.38,2025-05-01,2025-05-31,0.0021949840955110744
,,male,,244861.0,68469.0,176392.0,258.0,4.53,2.52,2.0,79.37,16112.4,8990.85,7121.55,79.21,Meta Leads,488.25,1284.41,-796.15,-61.99,33.0,7.0,26.0,371.43,65.8,131.31,-65.51,-49.89,0.39,0.42,-0.03,-6.11,16.84,31.55,-14.71,-46.63,957.0,285.0,672.0,235.79,2025-05-01,2025-05-31,0.002048112013107917
,,female,,56734.0,15695.0,41039.0,261.0,4.12,2.23,1.89,84.86,5650.87,2637.77,3013.1,114.23,Meta Leads,376.72,879.26,-502.53,-57.15,15.0,3.0,12.0,400.0,99.6,168.06,-68.46,-40.74,0.57,0.63,-0.06,-10.02,17.55,26.64,-9.09,-34.13,322.0,99.0,223.0,225.25,2025-05-01,2025-05-31,0.0026544585170071157
,,unknown,,1038.0,385.0,653.0,170.0,3.24,3.01,0.24,7.84,104.78,36.35,68.43,188.25,,,,,,,,,,100.94,94.42,6.53,6.91,0.48,0.0,0.48,,20.96,,,,5.0,0.0,5.0,,2025-05-01,2025-05-31,
,35-44,All,,272860.0,132450.0,140410.0,106.0,3.78,2.35,1.42,60.46,21355.68,19644.89,1710.79,8.71,Meta Leads,889.82,727.59,162.23,22.3,24.0,27.0,-3.0,-11.11,78.27,148.32,-70.05,-47.23,0.39,0.45,-0.07,-15.11,20.32,32.69,-12.37,-37.84,1051.0,601.0,450.0,74.88,2025-05-01,2025-05-31,0.0011238227956215864
,,male,,219432.0,108064.0,111368.0,103.0,3.71,2.36,1.35,57.28,15785.61,15661.96,123.66,0.79,Meta Leads,751.7,711.91,39.79,5.59,21.0,22.0,-1.0,-4.55,71.94,144.93,-72.99,-50.36,0.35,0.43,-0.08,-19.46,20.58,33.39,-12.81,-38.37,767.0,469.0,298.0,63.54,2025-05-01,2025-05-31,0.0013303255306573519
,,female,,52771.0,23784.0,28987.0,122.0,4.08,2.35,1.73,73.47,5512.15,3927.18,1584.97,40.36,Meta Leads,1837.38,785.44,1051.95,133.93,3.0,5.0,-2.0,-40.0,104.45,165.12,-60.66,-36.74,0.52,0.55,-0.03,-6.1,20.04,29.75,-9.71,-32.63,275.0,132.0,143.0,108.33,2025-05-01,2025-05-31,0.0005442522427727838
,,unknown,,657.0,602.0,55.0,9.0,5.13,1.88,3.25,172.84,57.91,55.75,2.16,3.88,,,,,,,,,,88.15,92.61,-4.46,-4.82,1.37,0.0,1.37,,6.43,,,,9.0,0.0,9.0,,2025-05-01,2025-05-31,
Eldeco LVB Generic 18 March,All,All,,1568621.0,1305255.0,263366.0,20.0,2.14,2.23,-0.09,-3.95,59208.69,121400.23,-62191.54,-51.23,Meta Leads,397.37,1113.76,-716.39,-64.32,149.0,109.0,40.0,36.7,37.75,93.01,-55.26,-59.42,0.47,0.35,0.12,34.03,7.96,26.29,-18.33,-69.72,7437.0,4617.0,2820.0,61.08,2025-05-01,2025-05-31,0.0025165224901952735
